         24986 function calls (24084 primitive calls) in 0.043 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:70(find_spec)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      511    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       40    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        3    0.000    0.000    0.000    0.000 gettext.py:627(gettext)
       10    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        3    0.000    0.000    0.000    0.000 gettext.py:587(dgettext)
        3    0.000    0.000    0.000    0.000 gettext.py:528(translation)
       17    0.000    0.000    0.000    0.000 argparse.py:1876(_add_action)
        3    0.000    0.000    0.000    0.000 gettext.py:488(find)
       17    0.000    0.000    0.000    0.000 argparse.py:1695(_add_action)
  488/467    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       81    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
      431    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      389    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        7    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
      102    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
        3    0.000    0.000    0.000    0.000 enum.py:251(__set_name__)
        1    0.000    0.000    0.000    0.000 filecmp.py:1(<module>)
      480    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
       16    0.000    0.000    0.000    0.000 argparse.py:1586(_get_optional_kwargs)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       17    0.000    0.000    0.000    0.000 argparse.py:1501(_add_action)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       17    0.000    0.000    0.000    0.000 argparse.py:564(_format_args)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:731(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 argparse.py:1491(add_argument_group)
        8    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      433    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
    25/11    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
      132    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 py_compile.py:66(PycInvalidationMode)
        2    0.000    0.000    0.000    0.000 argparse.py:1673(__init__)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       40    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
       81    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      330    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
      160    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       81    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 _abc.py:403(PathBase)
        4    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      7/5    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1676(_fill_cache)
        1    0.000    0.000    0.000    0.000 _local.py:59(PurePath)
        1    0.000    0.000    0.000    0.000 _local.py:482(Path)
      106    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      132    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       17    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        2    0.000    0.000    0.000    0.000 argparse.py:1996(take_action)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1488(_path_hooks)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
        3    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        1    0.000    0.000    0.000    0.000 glob.py:331(_Globber)
        1    0.000    0.000    0.000    0.000 argparse.py:155(HelpFormatter)
       17    0.000    0.000    0.000    0.000 argparse.py:1620(_pop_action_class)
      160    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       83    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       45    0.000    0.000    0.000    0.000 _parser.py:260(get)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       37    0.000    0.000    0.000    0.000 argparse.py:1409(register)
      160    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       66    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 argparse.py:1413(_registry_get)
        3    0.000    0.000    0.000    0.000 gettext.py:231(_expand_lang)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:677(cache)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 _abc.py:101(PurePathBase)
        3    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       17    0.000    0.000    0.000    0.000 argparse.py:803(__init__)
       21    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
       59    0.000    0.000    0.000    0.000 _parser.py:239(__next)
       20    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 filecmp.py:88(dircmp)
       64    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1717(path_hook_for_FileFinder)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 argparse.py:2492(_get_values)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       10    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        4    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
       10    0.000    0.000    0.000    0.000 argparse.py:915(__init__)
       43    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
       32    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       26    0.000    0.000    0.000    0.000 _parser.py:175(append)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       33    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       54    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       20    0.000    0.000    0.000    0.000 enum.py:199(__get__)
        2    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       51    0.000    0.000    0.000    0.000 _parser.py:255(match)
        1    0.000    0.000    0.000    0.000 argparse.py:1743(ArgumentParser)
        8    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       64    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        7    0.000    0.000    0.000    0.000 enum.py:695(__call__)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       27    0.000    0.000    0.000    0.000 _parser.py:292(tell)
       40    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 enum.py:946(_get_mixins_)
        7    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       32    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       17    0.000    0.000    0.000    0.000 argparse.py:549(_metavar_formatter)
